CNPJ BÁSICO,Nome Municip.,Nome Cnae,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,CAPITAL SOCIAL,PORTE DA EMPRESA,result
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,32.0,30179554.0,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
17507635,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91999818.0,,,"1000,00",1.0,
17632380,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32215234.0,,,"500,00",1.0,
17677999,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32112990.0,,,"5000,00",1.0,
17823106,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88170928.0,,,"1,00",1.0,
17849900,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88225987.0,,,"1000,00",1.0,
18067154,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32157226.0,,,"1040000,00",5.0,
12503650,JUIZ DE FORA,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,32.0,32132991.0,,,"6000,00",1.0,
13641011,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,99244532.0,,,"1,00",1.0,
18362725,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,91224889.0,,,"2000,00",1.0,
18407875,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32327876.0,,,"600,00",1.0,
18416201,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,99953002.0,32.0,88349526.0,"200000,00",1.0,
18431339,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32179314.0,,,"200000,00",1.0,
18558964,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32148145.0,,,"2000,00",1.0,
18786542,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,99669972.0,,,"1000,00",1.0,
18880826,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,87016741.0,,,"1000,00",1.0,
18885722,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,84330727.0,,,"2000,00",1.0,
18972944,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,88193291.0,,,"1000,00",1.0,
19242225,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32158108.0,,,"470100,00",5.0,
19468308,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32225893.0,,,"600,00",1.0,
19592540,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32154492.0,,,"5000,00",1.0,
